Text,target
"If you love tea, then you already know about Harney and Sons tea. As far as paper tea bags go, this is simply the best out there. The green tea has a slight, but not overwhelming, hint of fruit to it. It is exhilarating to drink. This is my favorite green tea hands down. For comparison, my next favorite would be Tazo's Zen, followed by Mighty Leaf. These tea bags are relatively pricey, but for the quality you are getting, it is well worth it.",2.0
"I paid over $13.00 for ""expedited"" delivery and the product still took FIVE days to arrive. Would not buy from them again.",0.0
"I am very happy with this purchase. There were so many beans; I feel like I got more than I paid for. The beans are long and filled with sticky, gooey vanilla goodness, and they smell good too. I'll definitely continue to purchase these organic Madagascar vanilla beans in the future.",1.0
"My wife and I own a Keurig, and have tried many brands and types of K-cups.  In my opinion, this is the best cup of coffee!  Also try the gingerbread, pumpkin, and coconut, which are seasonal.<br /><br />In a pinch, you can use a coupon at B, B, & B, and get about the same price as an Amazon bulk buy.",2.0
"I read about Manuka Honey in one of my magazines and all the positive benefits of this particular type.  I received this set all in tact and packed nicely in bubble wrap.  I have been pleasantly suprised at the flavor of this honey, not too syrupy, more solid and the sweetness is as one person put it, devine.  I believe this has become my favorite honey!",2.0
"First off, I didn't purchase this item for my use, but for my son's use in our Keurig. As for me, I prefer brewed coffee, but most importantly HE likes it.",1.0
Like trying new coffee in my Keurig so I purchased the Boardwalk blend.  Love the taste of the coffee but as with other reviewers some of them what I will call exploded in the brewer.  This left quite a mess to clean up. Even though this happened will order another flavor of this coffee as I love the coffee.<br />I will amend my review after receiving a box of the Cyclone Blend.  I have brewed 12-15 cups without any problems at all.  The company has apparently solved the problem they were having  with the k cups. As I stated previously I love the coffee.  After trying the Cyclone blend I've decided that this is the blend for me.  Will continue to purchase the coffee not only for the flavor but also the cost.,2.0
"This is the ""jack of all trades"" fertilizer.  I use it on everything.  At this size it is more affordable.",1.0
I read all the other reviews...I'm in the camp of the customers who think it tastes pretty terrible. Two days into a 3 lb. bag; not sure if I'm going to make it through this supply. I'll likely try the pea protein next.  I went through a bunch of the Vega Sport protein; awesome product but a bit pricey.,0.0
"I think the ingredients in this food speak for themselves - cheap filler & byproducts supplemented with vitamins.  After doing a tiny amount of research on cat nutrition I was absolutely disgusted with myself for feeding this food to my cat for over 3 years.  I am also disgusted that so many veterinarians have apparently been bought off by the Hill's company.<br /><br />This Science Diet formula's first 8 ingredients:<br />1 - Brewers rice: Filler. Processed rice product that is missing many of the nutrients contained in whole ground rice. (Cat's don't need grain, and this is the first ingredient!)<br />2 - Chicken By Product Meal: Parts of chicken not fit for human consumption, i.e. head, feet, bones, entrails, blood, intestines, etc.<br />3 - Corn Gluten Meal: Corn byproduct used as an inexpensive protein source.  Many cats and dogs are allergic to corn and, again, cats are carnivores and do not need grain.<br />4 - Powdered Cellulose:  Sawdust!<br />5 - Ground Whole Grain Corn:  More cheap, HYPER allergenic grain that cats don't need.<br />6 - Chicken Liver Flavor:  Self explanatory, but why not just use real chicken liver?<br />7 - Animal Fat: Fat from an unnamed animal source, most likely fat from many types of animals that the Hills company would rather not name.<br />8 - Soybean Mill Run: Soybean hulls - a cheap, byproduct filler.  Soy is also highly allergenic.<br /><br />The funny thing - anyone who buys Science Diet knows it's pretty expensive food.  Yet we can all reasonably presume that these fillers and byproducts probably aren't that expensive to source.  What's worse is that this food can cause serious health problems like diabetes due to the ridiculously high amount of carbohydrates (aka sugars).  The guaranteed analysis on the Hill's website indicates this food is composed of 43.2% carbohydrates.  That's completely inappropriate for the nutritional needs of cats.<br /><br />I was lucky to ""see the light"" before my cat developed any serious health problems from this food.  My cats symptoms on Science Diet were fairly mild, but still concerning - she got fatter and fatter, she was inactive, her coat was dull, and she pooped a lot.  The first food I switched her to was Taste of the Wild Rocky Mountain Formula, which is a grain-free, high protein diet that costs about half the price of Science Diet.  The first 8 ingredients of Taste of the Wild are chicken meal, peas, sweet potatoes, chicken fat, pea protein, potato protein, roasted venison, smoked salmon.  Obvious improvement over Science Diet's ingredients.  My cat loved it, started losing weight, more activity, coat became shiner, and there were litter box benefits as well (less poo because she was no longer eating filler that her body couldn't process).  I absolutely feel Taste of the Wild is an amazing value for grain-free cat food and a vastly superior product compared to Science Diet and most other commercial cat foods.<br /><br />A few months ago I found Orijen cat food and decided to switch again.  The first 8 ingredients of Orijen are fresh boneless chicken, chicken meal, fresh boneless salmon, turkey meal, fresh chicken liver, herring meal, russet potato, chicken fat.  Now doesn't the Orijen ingredient list make the Science Diet ingredients above even more laughable and sad?  After feeding Orijen and a bit of high-quality canned food every day (Tiki Cat or Nature's Variety Instict), my 4 year old cat has practically become a kitten again.  She plays every day and is the picture of lean, bright-eyed, happy feline health.  Changing my cat's diet from Science Diet to a diet appropriate for felines has completely transformed my cat in less than 6 months!<br /><br />There is so much information about feline health out there and so many holistic foods to choose from now.  I strongly believe that anyone who currently feeds Science Diet would feel immediately compelled to switch foods after doing 20-30 minutes of research.  Please do.",0.0
"Better than Taster's Choice, which it resembles in color and texture, but its a poor second to Starbucks Via Italian. I'm trying to find a lesser priced alternative to Via but Hula Girl is not that.",1.0
"I love coffee...and I love tea, but this really left me wondering what I was drinking and why.  It isn't either one really, and didn't catch my interest as something novel and new either.<br />Unfortunately, none of my taste test victims were thrilled with it either, whether they were coffee or tea fans.  I can't recommend it.  It just didn't please our palates.",0.0
We have Italian herbs!  Grew just as expected.  We love it.,2.0
I love La Panzanella croccantini but was unsure about what shape they would arrive in through Amazon.  I have always had excellent service and packaging so I thought it was worth a try.  The first box came beautifully packaged with the air-pocket packaging.  The crackers were in great shape and absolutely delicious. I was so pleased that I started the Subscribe and Save feature having these shipped once each month.  The first shipment through Subscribe and Save was completely crushed.  There were 2 small sheets of bubble wrap for 6 packagages and there was nothing between the packages.  Only about 10% of the crackers are in a reasonable enough size to consider eating them.  I went online to customer service and found out that they can't be returned.  This is an expensive item that is fragile and is sent to you with no recourse for return when you're shipped the small fragments due to poor packaging on Amazon's part.  I wouldn't risk it!,0.0
"Although this seems like a great product it is definitely not minced.  The cans say it is minced but it isn't, it is ground beef.  My cat ONLY likes minced.  Not chunks, not ground.  Although she will eat ground cat food sometimes, it has to be inviting and delicious, yet she just walks away from this.<br /><br />I hate it when the packaging lies about the contents of a product.  The shipping was speedy and the value is great (as long as they deliver what the promise) now I am stuck with food my cat wont eat at all.",0.0
The dogs absolutely love them but their odor is awful - like rotting fish. I have bought this product many times and noticed that some batches smell much worse than others.,1.0
"Very nice shampoo. It is so smooth and silky. Smells great, too. It makes my hair feel so soft. I'm not a big one to pick out fancy shampoos, I just know what I like and what works.",2.0
My mom said that when I was a kid they use to put this in my milk... she said it made  me solid... I tried it on my son who is 15 months old to add to his daily nutrition. I put this is his toddler formula and he loves it. I know this is not the only reason he is big but I believe it has helped him. He is in the 98% of his height and weight class... considering I am only 4'9 anything I can do to make sure he grows all he can is good (dad is 5'9). I don't feed him junk food and he isn't fat but he weighs 31 lbs. Because this product contains honey I would not recommend it for children under 1 year old.,2.0
well product came in on time but the other day I saw it at my local grocery store for cheaper then I bought it on amazon for.<br /><br />I read some review saying this stuff is so good makes food taste finger licking good. Not the case for me. I love hot stuff but this is just too much. Even a little does not taste good.<br />I would stay away from it.,0.0
This is probably my favorite roast of coffee.  I never realized how different coffee was between brands until I laid off on the sugar.  After doing this I can never drink Starbucks again.,2.0
"We have a pure bread German Shepard puppy that is 60 lbs. at six months old.  We were feeding her Costco's puppy dog food, but when we ran out at a time that Costco was closed, I went to Walmart and found this.  She just loves this dog food!  She eats much more, and yet is still lean and fast.  We are very happy about this.  Just wish Amazon could ship larger bags than 18 lbs.",2.0
"I bought a box of the 50 k-cups in this flavor and like many others on here discovered that they are defective and my coffee cup ends up full of the granules rather than drinkable coffee.  At 60c per cup this is unacceptable.<br /><br />Amazon were quick to provide a partial refund (50%), but as others have pointed out these faulty cups jam up your machine.<br /><br />Amazon should pull this product until this quality issue gets sorted out!",0.0
"Essentia Drinking Water tastes like (drumroll please) clean, filtered (public RO) drinking water.  Having used an alkaline gadget with my water in the past, I expected it to have more of a slightly different ""flavor"", but that wasn't the case.  It tastes like water.<br /><br />But taste isn't everything.  The bottle boasts of a silkiness to the water within the bottle.<br /><br />The silkiness made this less refreshing for me and I, frankly, avoided the rest of the bottle for a day and tried it again and still, the mouth feel made it seem like a thicker beverage with some sort of starch in it.  According to the label of the bottle I have on hand, there is no starch, but still it feels that way.  Like cornstarch- soft, silky, but not something I would seek out in my quest for hydration.  The silkiness killed it for me and sent me in pursuit of a bottle of Smart Water.  (Note:  please read the other reviews.  The silkiness might not be an issue for everyone, but I am very sensitive to texture and flavor variations. This might be a non-issue for you. YMMV)",1.0
"After reading a previous review, I was excited to find out that the company had solved its packaging problem.  It has not.  My order arrived yesterday, and when I opened the box, I faced a sticky mess - the little foil caps placed on the opening of each bottle had popped off under the lid, and leaked all over the interior of the box.  What a mess.<br /><br />Is the product good?  Yes, and that's why I'm giving it 4 stars - I'm deducting a star for the poor packaging, and the hassle it is to deal with it!",1.0
"I was not a tea drinker; however, this was a gold box deal and I decided to give it a try.  Am I glad I did!  It is smooth and very tasty.  Perfect for relaxing (no caffeine).  I will be buying more, definitely!",2.0
"If you want/need convenience, this item is fabulous!  We always rate the organic baby food pouches high and our only concern is the price.  We find the pouches great for taking to restaurants, in the car, on picnics, to the zoo, etc.  Also, it continues to be an easy way to get super foods into our toddlers without the preparation of the fruits and vegetables!  We still keep them on hand even after the baby food days are gone.",1.0
"I've tried a lot of different K-Cups and this is the weakest K-Cup coffee I've ever tried. It should not be labeled ""Medium Roast"", it should be labeled ""Warm Water Tasteless"" Roast. Too bad I bought a large box. What a waste...",0.0
"My cat completely ignores this flavor. Instead of the normal slab of meat, like BFF's other flavors, this one is soupy, and apparently not very good. My cat looks at me like I'm crazy when I give it to her. I don't know if I got a bad batch. If someone has gotten this, and it wasn't soupy, please leave a comment.",1.0
"The description on their website says they are sugar cookies, vanilla cookies but they are actually gingerbread.  Which is fine if you like gingerbread cookies but I don't. They were well packaged, fresh and nicely decorated but I have to return them since we didn't want gingerbread cookies.",0.0
"For people who know what APO shipping means...<br /><br />The VIA iced coffee is well worth it. I got it in less than a week (for me a record via APO), and works perfectly with the ubiquitous 1-litter water bottle. Everything is in one simple package (includes sugar) just pull the easy rip tab pour into a 1-litter of cold water bottle, shake and perfect coffee every time!<br /><br />My only complaint is you can only buy is boxes of 5 packets, if it came 50 pack i would buy that instead...",1.0
"For speed and wholesome goodness, Annie's can never be beaten.  And since this is a basic mac & cheese in a bowl, I have found it works well with left-over ""add-ons"" like vegies or a variety of meats.  I can have a filling, ""good for you"" meal in less than 5 minutes.  And kids love it too!",1.0
This sauce gives a nice aroma to hot pasta dish & to a simple salad.,1.0
Granulated sugar has 770 calories per cup while Splenda has 96 calories per cup. That's a fact.  Splenda (sucralose plus formulation aides) is a chlorocarbon and is not naturally occurring in nature.  Splenda has not shown any serious side effects in adults when consumed at normal dosages.  Effects in children have not been studied to the same extent as adults.,1.0
"The first box I ever bought was good. The tea, to me, tasted better cold than hot so I would make an ice tea of it and refrigerate it until I wanted it. The last few boxes I bought, however, were awful. I would boil the water and steep it and the tea would make this oily film over the top. It would just float and wasn't tasty to drink. I know sometimes plants have oils in them but this was excessive and killed the flavor. Not buying this brand again.",0.0
I bought this by accident thinking it was the regular Wheatebix my husband likes. We tried it and were very surprised by it. One of the few high fiber cereals that tastes good.  I have it in my subscribe order now so we stay stocked up. Crushed it also makes a good crumb coating on chicken. Sounds odd but it's really good.,2.0
"I recently got this Kyjen Kibble Drop puzzle toy for our two dogs. We have a 65 lb German Shepherd Dog and a 60 lb Golden Retriever. Both have been learning ""nosework"" so I thought this would be a fun toy to add to our scenting games.  I plan to use it by dropping one yummy treat at a time and having them find and get it from one of the 4 cups.<br /><br />I'll give you my conclusion first, and then you can decide if you want to read the details below for more info (including size of the toy info).<br /><br />SUMMARY:<br />I don't see how this toy could just be put on the ground and left for your dog to get the food out of the cups. Unless you have a very small dog, your dog's attempts will just move the toy around on the floor.  For larger dogs (like ours) the toy is way too lightweight and the flaps over the cups are too low to the ground for effective ""nosing the flap"" technique. In addition, any dog who couldn't nose the flap effectively would need to use her mouth -- and would naturally pick the arm up in her mouth in an attempt to get at the treats in the cup - thereby dumping all of the treats out of the other cups (hey - problem solved!!!). So, that means to play with this, you'd have to be there to hold the toy down/in-place while your dog does the puzzle and gets the treats.<br /><br />I think this toy would work best (maybe) for a small dog. Kyjen needs to make a heavier and larger sized version for medium or larger dogs.<br /><br />---------<br />.... Now, the details ....<br /><br />First, let me give you some sizing basics about this toy, so you can see if it will be a match for your dog's size.  I measured the toy and it's 10"" wide.  The top of the drop-in treat hole chamber is 4"" high. Each arm sticks out almost 4"" from the middle dispenser. Each treat cup at the end of the arm is about 2""x2"" when you lift the flap.  If you look at the very end of the arm, where the flap shuts, the height of the flap edge from the ground is under 1"".  The arms of the toy obviously slope upwards from the end, so I am talking about the very end of the arm. This is an extremely lightweight plastic toy, weighing in at just 6.2 oz.<br /><br />Whew, now that all the stats are out of the way... how is the actual puzzle toy?<br /><br />Initially, I had all the flaps open and just put a treat in an open cup so they could ""find"" it. They didn't have to open the flaps during that phase. The 2x2"" cup size is just adequate enough for them to get the treat out. If your dog is good at licking a treat out, this small size will work fine. If your dogs likes to mouth the treat out, and you have a larger dog, the 2x2 chamber size will likely be an issue. Our GSD was having trouble getting treats out because of this, although she eventually figured out how to cram her nose in there and use her tongue at the same time. :)  I would imagine a really large dog would have to be pretty good with his tongue to get a treat out of the small cups.<br /><br />An issue that appeared right away even with this simple usage was that the toy is SO lightweight it moves as soon as the dog touches it. I had to hold the toy in place or else they would just push it across the floor while trying to lick the treat out of the (flap open) cup.  I think Kyjen needs to add some weight to help keep this toy from moving so easily. The bottom has little rubber non-skid feet on each arm, but they do nothing.<br /><br />So... moving on to the phase where they had to open the flap to get the treat.... There is an issue here. For larger dogs, the flap is so low to the ground, that they can have trouble nosing it up. Our Golden tends to lie in front of what she ""finds"" when scenting. So, her head was already down on the ground level, which made it easier to work on flipping open the very-low-to-the-ground flap. Our GSD stays standing, though. So, from that angle, she couldn't really use her nose to flip the flap up (although she tried). She also used her mouth to try and open it, pawed at it, etc. I'm sure if I wasn't there to hold the toy from sliding, she would have just picked the whole thing up in her mouth -- problem solved! :)<br /><br />Now you can see why I wrote my summary above. From my experience, this is just the wrong size/weight toy for our dogs. I'll still use it for scent games, because I only need to drop one piece at a time in and I can hold the toy in place for this. But I am not sure how else this toy could be used unless you have a small dog.<br /><br />This is a hard toy to rate because of these issues. It's a good idea, but the implementation is flawed. Which is why I rated it so low.<br /><br />Hope this helps,<br />c-",0.0
"I like the taste of the tea but it is very hard on my digestive system!  I have tried it twice now (for several days) and it completely upsets the balance, won't go into detail but you get the picture! As soon as I stop drinking it (2c. a day, 1 in the morning and 1 in the evening) I am fine. There must be something in it that I cannot tolerate.  I bought the case....I never have trouble with any other tea!  :(",0.0
"I really like this brand of cheese sticks. They have great flavor, not an overwhelming 'chemical cheese' taste, and they don't rely on a ton of salt as do so many other snacks like these. Unfortunately, they came from ""Warehouse Deals"". They are packed by the manufacturer in a box of 12 designed for transport on pallets in semis to stores. That means the manufacturer's packaging is not designed to have a label stuck on it and then be tossed around by UPS, or FedEx, or whomever is delivering it. I received twelve boxes of cheese stick crumbs!!!! DO NOT ORDER IF ""Warehouse Deals"" is the vendor!!!!!!",1.0
"I cannot comment on product as it has not yet been tried. However, the order was shipped immediately and arrived in good order.",1.0
"These beans arrived having been very freshly roasted and with excellent aroma.  I brew in a French press and that first cup was excellent indeed- being a 5-star in flavor and at perhaps 4 on the aroma.  It did posses a rather surprising bitterness in the aftertaste but nothing that took anything significant away from the overall enjoyment.<br /><br />I have essentially finished the 5-pound bag now, and the enjoyment of that first cup continues at the same level as the first brew.  Unfortunately, my own style is to drink the coffee over the morning hours, and I normally do so by warming individual refills in the microwave.  After that  first excellent one, subsequent rewarmed  cups of this product, while a problem with many beans, drop off in quality faster than any other beans I have tried (of course, some start bad and stay bad). For that reason only- and admittedly my own habit that may not match yours- I drop this product to about 3 stars- it is a very steep drop in quality after that first cup.<br /><br />I have no idea how this might show itself using other brewing and serving methods.  I suspect that in any environment that does not require rewarming or perhaps held at temperature for longer periods, this is most definitely a 5-star candidate.  Its oiliness might possibly be a bit of a nuisance for some machines.<br /><br />Since I have found a few others that do hold their flavor extremely well after brewing and submit to rewarming quite well, I won't be using this one again.  If you are a re-warmer, I would try something else. However, I think that if you can avoid the heat cycling you should definitely consider giving in giving this one a try.",1.0
"I bought a box of 12 the other day after reading the mostly positive reviews...ive had real coconut water from brazil and this is not the same at all.. it says 100% pure but it tastes like it has a bunch of chemicals in it..i havent tried the flavored but this one although it has 230% vitamin c and more pottasium than 2 bananas, the taste of this product is simply not worth it.",0.0
"This bar was a let down in comparison to the Chocolate Raspberry version.  I would not buy again. Densly packed with calories (300), 18g fat (6g saturated), 28g carbs (18g sugar), and bland. I would rather spend my calories elsewhere. It has a weird aftertaste, too.",0.0
"I'm not a big fan of spicy, but I do love regular ranchero sauce, so I gave this a whirl. The 2-tablespoon serving size is a little much - I ended up using about 2.5 teaspoons on a small fajita to get it to a taste that was noticeable but not overwhelming. It does have a bold kick to it, but I wouldn't go so far as to call it a spicy kick - more like an intense flavor to be used in small doses alongside multiple ingredients.<br /><br />The sauce does not expire per se, but does have a ""best by"" date. In my case, its ""best by"" date was the day before it arrived in the mail. I'm willing to assume this was a fluke, however.",1.0
"I love Earth's Best products and only use them to feed my baby, besides home made foods. I rate this one one star because the seller didn't specify that this product contains milk, which my baby cannot tolerate since he is lactose-intolerant. So for us, it was a waste of money, and I bought two packs...",0.0
"This product says ""Jolly Rancher FRUIT CHEWS"".......I received the HARD CANDY. I called the Customer Service as soon as I received the wrong thing and asked for her to send me the CORRECT type of candy. She said they didn't have anything but HARD CANDY.....SOOOOOO It's definitely false advertisement because it CLEARLY states ""FRUIT CHEWS"" when you are ordering. I was buying this for my mom for Christmas because it's her favorite candy and I couldn't find them in any store and apparently I can't even trust to buy them on the internet anymore either. SO RIDICULOUS!!!! Needless to say, mom didn't get her candy for Christmas~ I DO NOT RECOMMEND TO ANYONE TO BUY THIS PROIDUCT if you're wanting fruit chews.....because you won't get it.",0.0
"I usually dry my own orange peels and use them when baking and making chocolate tea.  This product is convenient, always ready to use and it smells great.  It will last quite a while, and I will reorder from this company.",2.0
When I first drink this it work within hours..but after the next day it didn't send me to the bathroom like the day before..it good the first time..but after that u won't go as must as u did the first day of drinking this tea..,0.0
"I was on Amazon looking for a 'Natural Soda', one with a sweetener that wasn't white sugar and no phosphoric acid,when I saw the Mexican Coca Cola. First off if you loved Coke in the 60's & early 70's ,you will LOVE this coke. I know I do. But the REASON I gave it 2 stars is not for the taste of the Product- well that would be the reason for the taste . BUT WHOEVER is BUYNG at this price is seriously getting RIPPED OFF !!! Especially when you can go into your favourite Target store and buy it for $1.19 to $1.25 a bottle. And there are grocery stores here in the San Joaquin & Sacramento Valleys of California that sell it for those prices too. Such as SaveMart, S Mart, Food Maxx, It's not usually in the soda aisle either, all these guys make you look for it too, including Target. But it's worth it in taste. And I personally think that McDonald's burger joints also use this formulation in their taps, because it sure as heck doesn't taste the same as the coke in a Carl's burger place. Egads , now I'm taste testing for burger joint colas??!!!",0.0
"This is the essential ingredient for the spicy tofu dish that is a signature of Szechuan cuisine. Don't buy the stuff that calls itself ""Szechuan"" sauce! The sign of the real deal Szechuan sauce is that it contains ""broad bean"" paste, not just soybean paste, and it has a name more or less like ""toban djan,"" though it can be spelled various ways in Western script. There are other brands, specifically a Japanese one I've bought in Asian groceries that is significantly hotter and redder (so more chilis, I guess), but this one is just fine and easy to get thanks to Amazon.",1.0
I was so delighted when I opened my package which contained the cake decorating bees!. They were beautiful! They made me smile as I knew I had made an excellent choice for my bee hive cake. Thank you!,2.0
"Besides being smaller than runts, they look the same and have the same consistency.  Unfortunately, they taste nothing like banana runts...nor do they even taste good.  Yucky stuff.  Trying to return with vendor.",0.0
"I ordered Valerian Root tea. The price was a great deal, and shipment was really fast! I would recommend this seller to anyone, and I would definitely do business with them again.",2.0
I second the reviews that say not worth it. My dog popped the treat out within minutes and has already eaten half of it. I don't think this will keep her from eating my shoes after all.,0.0
"Well when I ordered this product for my dogs I had high hopes that this would be something that they might like.  The concept is that the product looks like a deodorant roll on...if you remember those.  You take the top off, and then there is a roll over which the gravy-like product is dispensed.  The gravy is thick and difficult to get to start dispensing.  Once it does start coming out of the sides of the roller ball, the process of it coming out is inconsistent.  Sometimes it comes out slowly,  then sometimes you have to shake the bottle a  good bit to encourage the gravy to come out around the roll.  This usually means that you are having to futz around with this dog treat much more than you would like to have to.  The dogs also got a little discouraged with the process as well.  They would actually walk off and give up on me with a frustrated look on their face as if to say that this was hardly worth it.",0.0
"Okay so these don't taste bad at all.  And given that they have B vitamins that's saying a lot.  They are caramel flavored hard candy with a soft honey center.  20 calories per piece, 33% of B6, B12, and C.  The C can be had easily anywhere so I don't consider that much of a plus.  But B vitamins (imo) taste *nasty* and are the vitamin that make me nauseated anytime I take a multi vitamin.<br /><br />Since B vitamins do help me feel better if I'm dragging (as well as vitamin D) I will take it every so often and have to choke down the horsepills.<br /><br />If you have trouble taking vitamins but you need more B vitamin supplementation these may be the best way to get there.  I'm a big fan of the sugary/chewy method of taking vitamins when I have to take vitamins so take my advice in that context.  I don't take them often but I prefer the non-pill forms when I have to take them and this is the best non-pill form of vitamin B I have tried to date.<br /><br />For what you pay for this you get about two and a half months of 100% dv of B6 and B12.  Since most vitamins cost around ten bucks for a month's worth of any of the non-pill-forms these are priced about the same as any of the other solutions.  If you have trouble swallowing pills these kinds of solutions are worth it.",1.0
"These Nature Valley ""Sweet & Salty Nut Granola Bars"" are good for between meal snacks and are fairly filling. While not very big, these bars pack a lot of flavor and energy that make them a real treat and I like that my kids will eat these in place of a candy bar.<br /><br />The only issue with these is that the bottom peanut butter layer can be come very soft and messy when heated up by a warm day of from being held in the hand too long, but I have learned to eat these held in the open wrapper to avoid the problem.<br /><br />My family also enjoys <a href=""http://www.amazon.com/gp/product/B000EMOCDA"">Nature Valley Sweet & Salty Nut Granola Bars, Peanut, 6-Count Boxes (Pack of 12)</a><br /><br />Recommended!<br /><br />CFH",1.0
"it was smaller than I expected after getting the large brown gel bottle. Perfect color, shipped quickly and packaged well.",1.0
"Wonderful, fresh<br />Doesn't expire til 2013<br />So glad we could find this product as no longer carried in Florida grocery stores",2.0
"i got this because the office just got a new keurig and each of us brought in a new flavor to try. 10/11 coffee addicts hated it. it smells soooo good but tastes soooo bad. the only way me, the 11th could drink it (and that's how i finished the box) is i mixed it with hot chocolate kcup. if you're not up to mixing it, then try something else.",0.0
"My kitten( 11 months) who likes to chew on everything loves these treats.  They are sort of like kitty raw hides. She knows where I keep them and goes to look for them. The only reason I didn't give 5 stars is I wish they lasted longer, she can chew and eat one in just a couple of minutes.",1.0
"The chocolates were melting when they arrived, but that was the least of the problems.  There was nothing gourmet about the small box of chocolates we received.  I'd suggest finding a better chocolate of the month club because there must be reasonable alternatives.",0.0
"I have begged all of the local grocery stores to stock Stash Decaffeinated Green Tea and none of them would. So, I had to get my mother who lives 4 hours away to purchase it from her local store and ship it to me. Then I found that Amazon had it. The price is better and I was told I would receive it in 7 days. I received the package in 3 days. I will order my tea from Amazon from now on. Thanks, Amazon!",2.0
Larabar bars are great because they are all natural with no artificial ingredients. This really tastes like a peanut and jelly sandwich.,2.0
very pleased will purchase again if price stays the same. Cats more content than with dry food by same co. Their fur is much nicer & healthier.,2.0
"We were excited to try this product as we restrict our sugar intake...<br />We made some brownies, which were incredible, but what followed was incredible in a different way...<br />Both my husband and I had unbelievable gas for the rest of the night- it did give us some laughs, but when you try to go to bed and you just cant stop farting- its sugar free value is outweighed by the torment that ensues after consumption...<br />Definitely do not eat hours before you go to work- if you work around others...unless you don't mind ripping all day long in front of your fellow employees or customers :)",1.0
I adopted my cat from a shelter and this is the type of food they fed him and urged me to continue feeding him. He absolutely loves it and I won't be changing brands or food anytime soon. It seems to be a very high quality dry cat food and it's definitely one that my cat loves. The big bag of food is great especially if you have large Rubbermaid (etc) containers to store it in so it doesn't get stale. I'm very happy with this food and I'm very glad the shelter (and my vet) ended up recommending it. My cat is happy and I'm happy knowing he is being fed appropriately with high quality food that is helping him stay healthy.,2.0
I gave it a four not a five because you need 2 bags. The tea you buy in Bolivia or Peru you only need one bag.,1.0
